0.9 -8.0085578  -7.9965907  -8.0177433  -8.0971491 -8.1314192
1.0 -8.0085578  -7.9966197  -8.0186174  -8.1035538 -8.1416946
1.1 -8.0085578  -7.9967317  -8.0193554  -8.1084028 -8.1496678
1.2 -8.0085578  -7.9968792  -8.0199825  -8.1122267 -8.1561188
1.3 -8.0085578  -7.9970379  -8.0204912  -8.1151088 -8.1612204
1.4 -8.0085578  -7.9971880  -8.0209112  -8.1173964 -8.1653994
1.5 -8.0085578  -7.9973200  -8.0212373  -8.1189789 -8.1685679
