  0 0.7582  0.6718  1.0420  1.1551  1.3179 
 10 0.7582  0.6741  1.0335  1.1644  1.3219 
 20 0.7582  0.6759  1.0267  1.1784  1.3312 
 30 0.7582  0.6774  1.0212  1.1824  1.3313 
 40 0.7582  0.6786  1.0175  1.1931  1.3389 
 50 0.7582  0.6795  1.0140  1.2003  1.3434 
