 0 0.7582 0.4286  1.0652  0.9285  1.1008 
10 0.7582 0.5210  1.0658  0.9905  1.1500 
20 0.7582 0.5545  1.0402  1.0308  1.1742 
30 0.7582 0.5733  1.0179  1.0500  1.1917 
40 0.7582 0.5872  1.0002  1.0337  1.1758 
50 0.7582 0.5972  0.9860  1.0180  1.1478 
