-.00 -8.0085578 -8.0008456  -8.0255283   -8.1166562 -8.1774632
-.10 -8.0085578 -7.9973387  -8.0210097   -8.1135875 -8.1645672
-.20 -8.0085578 -7.9969049  -8.0201406   -8.1126274 -8.1584288
-.30 -8.0085578 -7.9969089  -8.0199115   -8.1118200 -8.1540950
-.40 -8.0085578 -7.9970522  -8.0199079   -8.1111114 -8.1507736
-.50 -8.0085578 -7.9972404  -8.0200046   -8.1104803 -8.1481155
