10  -7.9985750  -3.8354110    -8.0076415    -3.8408177 -8.0118773  -3.8432802    -8.0132929  -3.8440759  
20  -8.0147079	 -3.8442024 -8.0150723	 -3.8443065 -8.0150159	 -3.8443482  -8.0145827	 -3.8443673
30  -8.0153394	 -3.8442725 -8.0153147	 -3.8443742 -8.0151357	 -3.8444084  -8.0146577	 -3.8444025
40  -8.0154660	 -3.8443378 -8.0153581	 -3.8443992 -8.0151520	 -3.8444155  -8.0146681	 -3.8444089
50  -8.0154859	 -3.8443500 -8.0153647	 -3.8444023 -8.0151564	 -3.8444188  -8.0146708	 -3.8444105
