0.9 -8.0085578  -8.0121229 -8.0244064 -8.0655106 -8.0807921
1.0 -8.0085578  -8.0074616 -8.0232334 -8.0801607 -8.1033489
1.1 -8.0085578  -8.0031748 -8.0220720 -8.0940424 -8.1250880
1.2 -8.0085578  -7.9993320 -8.0210403 -8.1047406 -8.1444388
1.3 -8.0085578  -7.9959272 -8.0207112 -8.1139083 -8.1675788
1.4 -8.0085578  -8.0018499 -8.3383775 -8.1252611 -8.2246704
1.5 -8.0085578  -7.9320225 -8.2199060 -8.3142633 10.7161469
